x z
11.934 22.954
12.660 24.897
13.331 26.968
13.919 29.103
14.394 31.218
14.728 33.222
14.897 35.018
14.884 36.519
14.682 37.661
14.295 38.406
13.736 38.750
13.030 38.718
12.206 38.358
11.297 37.732
10.338 36.905
9.359 35.941
8.389 34.892
7.450 33.801
6.558 32.701
5.726 31.614
4.961 30.553
4.267 29.527
3.644 28.539
3.090 27.590
2.602 26.680
2.176 25.807
1.806 24.969
1.486 24.163
1.212 23.387
0.977 22.639
0.778 21.918
0.608 21.222
0.464 20.549
0.341 19.899
0.238 19.270
0.149 18.662
0.073 18.074
0.007 17.504
-0.050 16.953
-0.101 16.420
-0.147 15.903
-0.190 15.404
-0.230 14.920
-0.269 14.452
-0.308 13.999
-0.348 13.560
-0.389 13.136
-0.432 12.726
-0.478 12.330
-0.528 11.947
-0.582 11.578
-0.642 11.221
-0.709 10.877
-0.782 10.547
-0.864 10.229
-0.955 9.925
-1.057 9.635
-1.171 9.358
-1.299 9.097
-1.443 8.852
-1.604 8.625
-1.786 8.418
-1.989 8.232
-2.218 8.073
-2.476 7.943
-2.765 7.849
-3.090 7.796
-3.456 7.795
-3.865 7.855
-4.324 7.991
-4.838 8.219
-5.411 8.559
-6.047 9.036
-6.752 9.679
-7.527 10.521
-8.373 11.598
-9.288 12.950
-10.266 14.613
-11.294 16.617
-12.351 18.976
-13.410 21.683
-14.433 24.694
-15.372 27.921
-16.175 31.232
-16.784 34.452
-17.150 37.385
-17.230 39.842
-17.003 41.674
-16.469 42.798
-15.652 43.213
-14.596 42.987
-13.357 42.240
-11.997 41.115
-10.578 39.750
-9.152 38.265
-7.764 36.750
-6.445 35.267
-5.217 33.853
-4.092 32.528
-3.076 31.297
-2.167 30.159
-1.361 29.106
-0.651 28.132
-0.028 27.227
0.519 26.384
0.998 25.596
1.420 24.857
1.795 24.165
2.129 23.514
2.433 22.903
2.712 22.331
2.974 21.797
3.225 21.300
3.469 20.843
3.712 20.425
3.958 20.048
4.211 19.715
4.474 19.430
4.750 19.194
5.042 19.014
